All,Todos
"We can't add the order status right now.","No podemos agregar el estado del pedido en este momento."
"You have unassigned the order status.","Ha desasignado el estado del pedido."
"Something went wrong while unassigning the order.","Algo salió mal al cancelar la asignación de la orden."
"Can't unhold order.","No se puede reiniciar la orden."
"You released the order from holding status.","Se publicó la orden del estado."
"The order was not on hold.","La orden no estaba en espera."
"Exception occurred during order load","Se produjo una excepción durante la carga de la orden"
"Something went wrong while saving the gift message.","Algo salió mal al guardar el mensaje de regalo."
"You saved the gift card message.","Ha guardado el mensaje de la tarjeta de regalo."
"The payment has been voided.","El pago ha sido anulado."
"We can't void the payment right now.","No podemos anular el pago ahora mismo."
"Please correct the transaction ID and try again.","Por favor corregir el identificador de transacción y vuelva a intentarlo."
"The transaction details have been updated.","Se han actualizado los detalles de la transacción."
"We can't update the transaction details.","No podemos actualizar los detalles de la transacción."
"Orders and Returns","Pedidos y devoluciones"
"You entered incorrect data. Please try again.","Había ingresado datos incorrectos. Por favor, inténtelo de nuevo."
"We could not add a product to cart by the ID ""%1"".","No pudimos añadir un producto a la cesta por el ID ""%1""."
"There is an error in one of the option rows.","Hay un error en una de las opciones de las filas."
"Shipping Address: ","Direccion de envio: "
"Billing Address: ","Dirección de facturación: "
"Please specify order items.","Por favor especificar elementos de la orden."
"This payment method is not available.","Este método de pago no está disponible."
"Validation is failed.","La validación ha fallado."
"Path ""%1"" is not part of allowed directory ""%2""","Ruta ""%1"" no es parte de directorio permite ""%2"""
"Identifying Fields required","Identificación de campos requeridos"
"Id required","Identificación requerida"
"""Invoice Document Validation Error(s):\n"" .","""Error (es) de validación del documento de factura:\n""."
"Could not save an invoice, see error log for details","No se pudo guardar una factura, vea el registro de errores para más detalles"
"A hold action is not available.","Una acción de retención no está disponible."
"You cannot remove the hold.","No se puede reactivar."
"Please enter the company.","Por favor ingrese la empresa."
"Please enter the fax number.","Por favor ingrese el número de fax."
"Could not delete order address","No se puede eliminar la dirección del pedido"
"Could not save order address","No se puede guardar dirección de orden"
"Unknown State","Estado desconocido"
"Could not delete the comment.","No se puede eliminar el comentario."
"Could not save the creditmemo comment.","No se pudo guardar el comentario de nota de crédito."
"We found an invalid quantity to refund item ""%1"".","Encontramos una cantidad válida para devolver el elemento ""%1""."
"The creditmemo contains product item that is not part of the original order.","La nota de crédito contiene un producto que no forma parte del pedido original."
"The quantity to refund must not be greater than the unrefunded quantity.","La cantidad a reembolsar no debe ser mayor que la cantidad no reembolsada."
"Could not delete the credit memo item.","No se pudo eliminar el elemento de la nota de crédito."
"Could not save the credit memo item.","No se pudo guardar el elemento de la nota de crédito."
"Maximum shipping amount allowed to refund is: %1","Importe máximo permitido del envío para reembolsar es: %s"
"Order Id is required for creditmemo document","Id de pedido es requerido para el documento de crédito"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","La nota de crédito contiene un producto SKU ""%1"" que no forma parte del pedido original."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","La cantidad a acreditar no debe ser mayor que la cantidad no financiada para el producto SKU ""%1""."
"You can't create a creditmemo without products.","No puede crear una nota de crédito sin productos."
"The most money available to refund is %1.","La mayor cantidad de dinero disponible para devolución es %1."
"Could not delete credit memo","No se puede eliminar la nota de crédito"
"Could not save credit memo","No se puede guardar la nota de crédito"
"This order already has associated customer account","Esta orden ya tiene asociados cuenta cliente"
"We cannot register an existing invoice","No podemos registrar una factura existente"
"Could not delete the invoice comment.","No se pudo eliminar el comentario de la factura."
"Could not save the invoice comment.","No se pudo guardar el comentario de la factura."
"Could not delete the invoice item.","No se pudo eliminar el elemento de la factura."
"Could not save the invoice item.","No se pueden guardar el elemento de la factura."
"We can't create creditmemo for the invoice.","No podemos crear una nota de crédito para la factura."
"Order Id is required for invoice document","Id del pedido es requerido para el documento de factura"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","La cantidad a facturar no debe ser mayor que la cantidad no facturada para el SKU del producto ""%1""."
"The invoice contains one or more items that are not part of the original order.","La factura contiene uno o más artículos que no son parte del pedido original."
"ID required","ID requerida"
"Unknown Status","Estatus desconocido"
Backordered,"Pendientes de entrega"
Partial,Parcial
Mixed,Mixto
"Registered a Void notification.","Recibido una noticia vacía."
"If the invoice was created offline, try creating an offline credit memo.","Si la factura se creó fuera de línea, intente crear un creditmemo en línea."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Devuelto"". Reembolso por comerciante. Notificación sobre el importe reembolsado de %1 registrado. Identificador de la transacción: ""%2"". Nota de crédito no ha sido creada. Por favor crear abono fuera de línea."
"The credit memo has been created automatically.","La nota de crédito se ha creado automáticamente."
"Registered notification about refunded amount of %1.","Recibido una noticia acerca de un importe reembolsado de %s."
"Canceled order online","Pedido cancelado en línea"
"Canceled order offline","Pedido cancelado fuera de línea"
"Approved the payment online.","El pago ha sido aprobado a distancia."
"There is no need to approve this payment.","No hay necesidad de aprobar este pago."
"Denied the payment online","Denegado el pago en línea"
"Registered update about approved payment.","Recibido una actualización acerca de un pago aprobado."
"Registered update about denied payment.","Recibido una actualización acerca de un pago denegado."
"There is no update for the payment.","No hay actualizaciones para este pago."
"Voided authorization.","Autorización anulada."
"Amount: %1.","Cantidad: %1."
"Transaction ID: ""%1""","Identificador de la transacción: ""%1"""
"The transaction ""%1"" cannot be captured yet.","La transacción ""%s"" todavía no puede ser capturada."
"The parent transaction ID must have a transaction ID.","ID de transacción principal debe tener una ID de transacción."
"Payment transactions disallow storing objects.","Las operaciones de pago no permiten almacenar objetos."
"The transaction ""%1"" (%2) is already closed.","La transacción ""%s"" (%s) ya está cerrada."
"Set order for existing transactions not allowed","No se le permite configurar un pedido de una transacción existente."
"At minimum, you need to set a payment ID.","Como mínimo, es necesario establecer una ID de pago."
"We found an unsupported transaction type ""%1"".","Encontramos un tipo de transacción ""%1""."
"Please set a proper payment and order id.","Establezca un ID de pago y de orden adecuado."
"Please enter a Transaction ID.","Introduzca un ID de transacción."
"You can't do this without a transaction object.","No se puede hacer esto sin un objeto de transacción."
"Order Date: ","Fecha de pedido: "
"Sold to:","Vendido a:"
"Total Shipping Charges","Gastos de envío"
"We found an invalid renderer model.","Encontramos un modelo de renderizado no válido."
"Please define the PDF object before using.","Por favor, defina un objeto PDF ante de su uso."
"We don't recognize the draw line data. Please define the ""lines"" array.","No reconocemos los datos de la línea de extracción. Por favor, defina la matriz de ""líneas""."
"Total (ex)","Total (excl.)"
"Total (inc)","Total (incl.)"
"Credit Memo # ","Factura rectificada nº "
"Invoice # ","Factura # "
"The order object is not specified.","El objeto del pedido no está especificado."
"The source object is not specified.","El objeto fuente no está especificado."
"An item object is not specified.","No se especifica un item object."
"A PDF object is not specified.","Objeto PDF no especificado."
"A PDF page object is not specified.","Objeto de página PDF no especificado."
"Packing Slip # ","Hoja de empaque # "
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","El PDF total modelo %1 debe o extender \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","El cheque recibido no coincide con la interfaz"
"We cannot register an existing shipment","No se puede registrar un envío existente"
"Could not delete the shipment comment.","No se puede eliminar el comentario de envío."
"Could not save the shipment comment.","No se pueden guardar el comentario de envío."
"Could not delete the shipment item.","No se pudo eliminar el elemento de envío."
"Could not save the shipment item.","No se puede guardar el elemento de envío."
"Parent shipment cannot be loaded for track object.","El envío matriz no puede ser cargado por objeto trackeado."
"Could not delete the shipment tracking.","No se pudo eliminar el rastreo del envío."
"Could not save the shipment tracking.","No se puede guardar el rastreo del envío."
"Order Id is required for shipment document","Id de pedido es requerido para el documento de envío"
"You can't create a shipment without products.","No puede crear un envío sin productos."
"The shipment contains product SKU ""%1"" that is not part of the original order.","El envío contiene el SKU del producto ""%1"" que no forma parte del pedido original."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","La cantidad a enviar no debe ser mayor que la cantidad no enviada para el SKU del producto ""%1""."
"Could not delete shipment","No se puede eliminar el envío"
"Could not save shipment","No se puede guardar el envío"
"The last status can't be unassigned from its current state.","El último estado no puede ser desasignado desde su estado actual."
"Status can't be unassigned, because it is used by existing order(s).","Estado no puede ser desasignado, ya que es utilizado por los pedidos existentes."
"Could not delete the order status history.","No se pudo eliminar el historial de estado de la orden."
"Could not save the order status history.","No se pudo guardar el historial de estado de la orden."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","El modelo total debe extenderse desde \Magento\Sales\Model\Order\Total\AbstractTotal."
"An invoice cannot be created when an order has a status of %1","No se puede crear una factura cuando una orden tiene un estado de %1"
"A creditmemo can not be created when an order has a status of %1","No se puede crear una nota de crédito cuando una orden tiene un estado de %1"
"The order does not allow a creditmemo to be created.","La orden no permite que se cree una tarjeta de crédito."
"A shipment cannot be created when an order has a status of %1","No se puede crear un envío cuando un pedido tiene un estado de %1"
"The order does not allow a shipment to be created.","La orden no permite que se cree un envío."
"""Creditmemo Document Validation Error(s):\n"" .","""Error (es) de validación de documento de nota de crédito:\n"" ."
"Could not save a Creditmemo, see error log for details","No se pudo guardar una nota de crédito, ver registro de errores para más detalles"
"We can't save the address:\n%1","No podemos guardar la dirección: \n%1"
"We don't have enough information to save the parent transaction ID.","No tenemos suficiente información para guardar la ID de transacción del padre."
"We cannot create an empty shipment.","No se puede crear un envio vacío."
"Cannot save track:\n%1","No se puede guardar la pista:\n%1"
"Cannot unassign status from state","No se puede quitar la asignación de estado del estatus"
"New Orders","Nuevos pedidos"
"Order #%1 created at %2","Pedido nº %1 creado el %2"
"Details for %1 #%2","Detalles para %1 # %2"
"Notified Date: %1","Fecha de notificación: %1"
"Comment: %1<br/>","Comentario: %1 <br/>"
"Current Status: %1<br/>","Estado actual: %1 <br/>"
"Total: %1<br/>","Total: %1 <br/>"
"Order # %1 Notification(s)","Pedido nº %1 notificaciones"
"You can not cancel Credit Memo","No puede cancelar factura rectificada"
"Could not cancel creditmemo","No se puede cancelar la nota de crédito"
"We cannot register an existing credit memo.","No se puede registrar una factura rectificada existente."
"We found an invalid quantity to invoice item ""%1"".","Encontramos una cantidad válida para facturar el artículo ""%1""."
"The Order State ""%1"" must not be set manually.","El estado del pedido ""%s"" no se debe establecer manualmente."
"""Shipment Document Validation Error(s):\n"" .","""Error (es) de validación de documentación del pedido: \n""."
"Could not save a shipment, see error log for details","No se pudo guardar un envío, ver registro de errores para más detalles"
"VAT Request Identifier","Identificador de petición de IVA"
"VAT Request Date","Fecha de petición de IVA"
"Pending Payment","Pago pendiente"
"On Hold","En espera"
Complete,Completo
"Suspected Fraud","Sospechas de acto fraudulento"
"Payment Review","Revisión de pago"
"Product doesn't exist","El producto no existe"
"Email has not been sent","Correo electrónico no ha sido enviado"
"Authorized amount of %1","Importe autorizado de %1"
" Transaction ID: ""%1"""," ID de la transacción: ""%1"""
"Group was removed","Grupo fue eliminado"
"Changing address information will not recalculate shipping, tax or other order amount.","El cambio de la información de la dirección no efectua calcular de nuevo los gastos del envío, de impuestos ni el total del pedido."
"Order Comments","Comentarios del pedido"
"Payment &amp; Shipping Information","Información de Pago y Envío"
"Order Currency:","Moneda de pedido:"
"Same As Billing Address","La misma dirección que la de facturación"
"Select from existing customer addresses:","Seleccione entre las direcciones de cliente existentes"
"You don't need to select a shipping address.","No necesita seleccionar una dirección de envío."
"Gift Message for the Entire Order","Mensaje de regalo por todo el pedido"
"Move to Shopping Cart","Al carrito de la compra"
"Sorry, no quotes are available for this order.","Lo sentimos, no hay citas disponibles para este pedido."
"You don't need to select a shipping method.","No es necesario seleccionar un método de envío."
"Customer's Activities","Actividad de los Clientes"
"Append Comments","Anexar comentarios"
"Email Order Confirmation","Enviar una confirmación del pedido por correo electrónico"
"Grand Total Excl. Tax","Total sin incluir impuestos"
"Grand Total Incl. Tax","Total incluyendo impuestos"
"Payment &amp; Shipping Method","Pago y método de envío"
"The order was placed using %1.","El pedido fue realizado utilizando %1."
"Items to Refund","Artículos para reembolso"
"Return to Stock","Artículos para devolver a existencias"
"Qty to Refund","Cantidad a reembolsar"
"No Items To Refund","No hay artículos para reembolso"
"Credit Memo Comments","Comentarios de facturas rectificadas"
"Refund Totals","Estadísticas totales de reembolso"
"Email Copy of Credit Memo","Enviar una copia de la factura rectificativa por correo electrónico"
"Please enter a positive number in this field.","Por favor, introduzca un número positivo en este campo."
"Items Refunded","Artículos devueltos"
"No Items","No hay artículos"
"Memo Total","Total de memo"
"Credit Memo History","Historial de facturas rectificadas"
"Credit Memo Totals","Totales de factura rectificada"
"Customer Name: %1","Nombre del cliente: %1"
"Purchased From: %1","Comprado en: %1"
"Shipping &amp; Handling","Gastos de envío"
"Create Shipment","Crear albarán"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","El tipo de factura y envío no coincide con algunos de los artículos de este pedido. Puedes crear un envío solo después de crear la factura."
"Qty to Invoice","Cantidad a facturar"
"Invoice History","Historial de la factura"
"Invoice Comments","Comentarios de la factura"
"Invoice Totals","Totales de factura"
"Capture Online","Capturar en línea"
"Capture Offline","Capturar fuera de línea"
"Not Capture","No captura"
"The invoice will be created offline without the payment gateway.","La factura se creará fuera de línea sin la pasarela de pago."
"Email Copy of Invoice","Enviar una copia de la factura por correo electrónico"
"Items Invoiced","Artículos facturados"
"Total Tax","Total impuestos"
"From Name","Por nombre"
"To Name",Nombre
"Notification Not Applicable","Notificación no disponible"
"Order & Account Information","Información del pedido y de la cuenta"
"The order confirmation email was sent","El email de confirmación del pedido fue enviado"
"The order confirmation email is not sent","El correo electrónico de confirmación del pedido no se ha enviado"
"Order Date","Fecha del pedido"
"Order Date (%1)","Fecha de la orden (%1)"
"Purchased From","Comprado de"
"Link to the New Order","Enlace al nuevo pedido"
"Link to the Previous Order","Enlace al pedido anterior"
"Placed from IP","Realizado desde IP"
"%1 / %2 rate:","tarifa %1 / %2 :"
"Edit Customer","Editar cliente"
"Notes for this Order","Notas para este pedido"
"Comment added","Comentario agregado"
"Transaction Data","Datos de la transacción"
"Parent Transaction ID","ID de transacción principal"
"Is Closed","Está cerrado"
"Child Transactions","Transacciones hijas"
"Transaction Details","Detalles de la transacción"
"Gift Message for this Order","Mensaje de regalo para este pedido"
"Shipped By","Enviado por"
"Tracking Number","Número de seguimiento"
"Billing Last Name","Apellido para facturación"
"Find Order By","Buscar pedido por"
"ZIP Code","Código postal"
"Billing ZIP Code","Código postal de facturación"
"Print All Refunds","Imprimir todos los reembolsos"
"Refund #","Reembolso nº "
"Print Refund","Imprimir reembolso"
"You have placed no orders.","No ha hecho ningún pedido."
"Print Order","Imprimir pedido"
"Print All Invoices","Imprimir todas las facturas"
"Invoice #","Factura nº "
"Print Invoice","Imprimir factura"
"About Your Order","Acerca de su pedido"
"<span class=""label"">Order Date:</span> %1","<span class=""label""> Fecha de pedido:</span> %1"
"Refund #%1","Reembolso nº %1"
"Shipment #%1","Albarán nº %1"
"Recent Orders","Pedidos recientes"
"Gift Message for This Order","Regalo mensaje para este pedido"
"Recently Ordered","Recientemente ordenado"
"Credit memo for your %store_name order","Credit memo para su orden en %store_name"
"Thank you for your order from %store_name.","Gracias por su pedido de %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Puede comprobar el estado de su pedido <a href=""%account_url"">accediendo a su cuenta</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Si tienes alguna duda acerca de tu pedido, puede enviarnos un email a <a href=""mailto:%store_email"">%store_email</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Nuestro horario es de <span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Su factura rectificada nº %creditmemo_id para el pedido nº %order_id"
"Billing Info","Información de facturación"
"Shipping Info","Información de envío"
"Update to your %store_name credit memo","Actualizar su credit memo de %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","El pedido nº %increment_id se ha actualizado con un estado de <strong>%order_status</strong>."
"Invoice for your %store_name order","Factura para el pedido en %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Su factura nº %invoice_id para el pedido nº %order_id"
"Update to your %store_name invoice","Actualizar su factura en %store_name"
"Your %store_name order confirmation","Confirmación de su pedido en %store_name"
"Once your package ships we will send you a tracking number.","Una vez que el paquete sea enviado te enviaremos un número de seguimiento."
"Your Order <span class=""no-link"">#%increment_id</span>","Su pedido <span class=""no-link""> #%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Creada el <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Una vez que su paquete se envíe, le enviaremos un correo electrónico con un enlace para rastrear su pedido."
"Update to your %store_name order","Actualizar su orden en %store_name"
"Your %store_name order has shipped","Se ha enviado su orden de %store_name"
"Your shipping confirmation is below. Thank you again for your business.","La confirmación de su envío está abajo. Gracias otra vez por su compra."
"Your Shipment #%shipment_id for Order #%order_id","Su envío nº %shipment_id para el pedido nº %order_id"
"Update to your %store_name shipment","Actualización el envío de %store_name"
"Gift Options for ","Opciones de regalo para "
"You have item changes","Tiene cambios de artículo"
Operations,Operaciones
"Send Order Email","Enviar correo electrónico de la orden"
"Accept or Deny Payment","Aceptar o rechazar pago"
"Send Sales Emails","Enviar correos de ventas"
"Sales Section","Sección de ventas"
"Sales Emails Section","Sección de emails de ventas"
"Hide Customer IP","Esconder al cliente IP"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Elegir si la IP de un cliente se muestra en los pedidos, facturas, envíos y notas de crédito."
"Checkout Totals Sort Order","Verificar los totales ordenados de los pedidos"
"Allow Reorder","Permite reordenar"
"Invoice and Packing Slip Design","Diseño de la factura y de la etiqueta del paquete postal"
"Logo for PDF Print-outs (200x50)","Logo para impresiones PDF (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Su logotipo predeterminado se utilizará en documentos PDF y HTML. <br />(jpeg, tiff, png) Si su imagen en formato PDF está distorsionada, intente utilizar imágenes de mayor tamaño."
"Logo for HTML Print View","Logo para la vista de impresión HTML<br />(también para las plantillas de email)"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logotipo solo para documentos HTML. Si está vacío, se usará el predeterminado. <br />(jpeg, gif, png)"
"Subtotal after discount","Subtotal después de descuento"
"Include Tax to Amount","Inlcuir el impuesto a la cantidad"
"Description Message","Mensaje de descripción"
"Error to Show in Shopping Cart","Error a mostrar en la cesta de la compra"
"Validate Each Address Separately in Multi-address Checkout","Validar cada dirección por separado en la salida de direcciones múltiples"
"Multi-address Description Message","Múltiple direcciones Mensaje descriptivo"
"We'll use the default description above if you leave this empty.","Se usará la descripción por defecto si este campo esta vacío."
"Multi-address Error to Show in Shopping Cart","Múltiple direcciones Error en el carrito de compra"
"We'll use the default error above if you leave this empty.","Se usará la el mensaje de error por defecto si este campo esta vacío."
"Use Aggregated Data","Utilizar datos agregados"
"Orders Cron Settings","Configuración de Cron de órdenes"
"Pending Payment Order Lifetime (minutes)","Tiempo de vida de pedido con pago pendiente (minutos)"
"Sales Emails","Correos de Ventas"
"Asynchronous sending","Envío asincrónico"
"New Order Confirmation Email Sender","Confirmación de pedido - Remitente de correo electrónico"
"New Order Confirmation Template","Plantilla para nueva confirmación de pedido"
"New Order Confirmation Template for Guest","Plantilla para nueva confirmación de pedido como visitante"
"Send Order Email Copy To","Enviar aviso de pedido en copia a correo electrónico"
"Send Order Email Copy Method","Enviar aviso de pedido en copia (método)"
"Order Comment Email Sender","Comentario del pedido – Remitente de correo electrónico"
"Order Comment Email Template","Comentario del pedido – Plantilla de correo electrónico"
"Order Comment Email Template for Guest","Comentario del pedido – Plantilla de correo electrónico para visitante"
"Send Order Comment Email Copy To","Enviar comentario de pedido en copia a correo electrónico"
"Send Order Comments Email Copy Method","Enviar comentario de pedido en copia (método)"
"Invoice Email Sender","Remitente de correo electrónico de la factura"
"Invoice Email Template","Plantilla de correo electrónico de la factura"
"Invoice Email Template for Guest","Plantilla de correo electrónico de factura para visitante"
"Send Invoice Email Copy To","Enviar aviso de factura en copia a correo electrónico"
"Send Invoice Email Copy Method","Enviar aviso de factura en copia (método)"
"Invoice Comment Email Sender","Remitente de correo electrónico para comentarios de la factura"
"Invoice Comment Email Template","Plantilla de correo electrónico para comentarios de la factura"
"Invoice Comment Email Template for Guest","Plantilla de correo electrónico para comentarios de la factura para visitante"
"Send Invoice Comment Email Copy To","Enviar comentario de factura en copia a correo electrónico"
"Send Invoice Comments Email Copy Method","Enviar comentario de factura en copia (método)"
"Shipment Email Sender","Envío - Remitente de correo electrónico"
"Shipment Email Template","Envío - Plantilla de correo electrónico"
"Shipment Email Template for Guest","Envío - Plantilla de correo electrónico para visitante"
"Send Shipment Email Copy To","Enviar aviso de envío en copia a correo electrónico"
"Send Shipment Email Copy Method","Enviar aviso de envío en copia (método)"
"Shipment Comments","Comentarios del pedido"
"Shipment Comment Email Sender","Comentario del envío - Remitente de correo electrónico"
"Shipment Comment Email Template","Comentario del envío - Plantilla de correo electrónico"
"Shipment Comment Email Template for Guest","Comentario del envío - Plantilla de correo electrónico para visitante"
"Send Shipment Comment Email Copy To","Enviar comentario de envío en copia a correo electrónico"
"Send Shipment Comments Email Copy Method","Enviar comentario de envío en copia (método)"
"Credit Memo Email Sender","Remitente de correo electrónico de factura rectificada"
"Credit Memo Email Template","Plantilla de correo electrónico de factura rectificada"
"Credit Memo Email Template for Guest","Plantilla de correo electrónico de factura rectificada para clientes"
"Send Credit Memo Email Copy To","Enviar copia de correo electrónico factura rectificada a"
"Send Credit Memo Email Copy Method","Enviar método de copia de correo electrónico de factura rectificada"
"Credit Memo Comment Email Sender","Remitente de correo electrónico de comentario de factura rectificada"
"Credit Memo Comment Email Template","Plantilla de correo electrónico de comentario de factura rectificada"
"Credit Memo Comment Email Template for Guest","Factura rectificada comentario plantilla de correo electrónico para clientes"
"Send Credit Memo Comment Email Copy To","Envíe copia del Email del comentario de factura rectificada a"
"Send Credit Memo Comments Email Copy Method","Enviar factura rectificada comentarios correo electrónico método de copia"
"PDF Print-outs","Impresos en PDF"
"Display Order ID in Header","Mostrar ID del pedido en la cabecera"
"Customer Order Status Notification","Notificación de estado de pedido del cliente"
"Asynchronous indexing","Indexación asincrónica"
"Orders and Returns Search Form","Buscador de Pedidos y Devoluciones"
"ZIP/Post Code","Código postal"
"Signed-up Point","Punto registrado"
"Invoice Date","Fecha de la factura"
"Ship Date","Fecha de envío"
"Total Quantity","Cantidad Total"
"Default Status","Estado predeterminado"
"State Code and Title","Título y código de estado"
"Item Status","Estado del artículo"
"Original Price","Precio original"
"Tax Percent","Porcentaje de impuestos"
"PDF Credit Memos","Facturas rectificadas en PDF"
"Print Invoices","Imprimir facturas"
"Print Packing Slips","Imprimir guias de envio"
"Print Credit Memos","Imprimir facturas rectificadas"
"Print All","Imprimir todo"
"Print Shipping Labels","Imprimir etiquetas de envío"
"Purchase Date","Fecha de compra"
"Customer Email","Correo electrónico del cliente"
"Shipping and Handling","Gastos de envío"
"PDF Invoices","Facturas en PDF"
"PDF Shipments","Albaranes PDF"
"PDF Creditmemos","Facturas rectificadas PDF"
"Create New Order for New Customer in %1","Crear nuevo pedido para el nuevo cliente en %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","La factura y el envío han sido creados. ' ' La etiqueta de envío no se puede crear ahora."
"We will authorize %1 after the payment is approved at the payment gateway.","Le autorizamos a %1 después de que el pago es aprobado en la pasarela de pago."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Se ha suspendido el pedido, ya que se sospecha que la cantidad autorizada %s pueda ser fraudulenta."
"An amount of %1 will be captured after being approved at the payment gateway.","Una cantidad de %1 será capturada después de ser aprobado en la pasarela de pago."
"Captured amount of %1 online","Cantidad capturada de %1 en línea"
"The order amount of %1 is pending approval on the payment gateway.","La cantidad de pedidos de %1 está pendiente de aprobación en la pasarela de pago."
"Registered notification about captured amount of %1.","Recibido una noticia acerca de un importe capturado de %s."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Se ha suspendido el pedido porque se sospecha que su cantidad tomada %s puede ser fraudulenta."
"We found an invalid quantity to ship for item ""%1"".","Encontramos una cantidad válida para enviar para el artículo ""%1""."
"Improves dashboard performance but provides non-realtime data.","Mejora el rendimiento del panel pero no proporciona datos en tiempo real."
"Sample message.","Mensaje de ejemplo."
"Limit per cron run","Límite por cron ejecutado"
"Grid Settings","Configuración de cuadriculado"
"Use Aggregated Data (beta)","Utilizar datos agregados (beta)"
"Could not save the comment.","No se pudo guardar el comentario."
"Authorized amount of %1.","Cantidad autorizada de %1."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Cantidad autorizada de %1. El pedido se suspende ya que se sospecha que su cantidad autorizante %1 es fraudulenta."
"Captured amount of %1 online.","Cantidad capturada de %1 en línea."
"Product is not salable.","Producto no es vendible."
"Get available payment methods","Conseguir modalidades de pago disponibles"
"Allow Zero GrandTotal","Permitir Zero GrandTotal"
"Allow Zero GrandTotal for Creditmemo","Permitir Zero GrandTotal para Creditmemo"
"Include Discount Amount","Cantidad Descontada Incluida"
"The comment is missing. Enter and try again.","Falta el comentario. Introduzcalo y vuelva a intentarlo."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","El código de cupón ""%1"" no es válido. Verifique el código y vuelva a intentarlo."
"The invoice can't be created without products. Add products and try again.","La factura no se puede crear sin productos. Agrega productos y vuelve a intentarlo."
"The invoice can't be saved at this time. Please try again later.","La factura no se puede guardar en este momento. Por favor, inténtelo de nuevo más tarde."
"An ID is needed. Set the ID and try again.","Se necesita un ID. Establece el ID y vuelve a intentarlo."
"The order address couldn't be deleted.","La dirección del pedido no se pudo eliminar."
"The order address couldn't be saved.","La dirección del pedido no se pudo guardar."
"The credit memo couldn't be deleted.","La nota de crédito no se pudo eliminar."
"The credit memo couldn't be saved.","La nota de crédito no se pudo guardar."
"The shipment couldn't be deleted.","El envío no pudo ser eliminado."
"The shipment couldn't be saved.","El envío no pudo ser guardado."
"The last status can't be changed and needs to stay assigned to its current state.","El último estado no se puede cambiar y debe permanecer asignado a su estado actual."
"The status can't be unassigned because the status is currently used by an order.","El estado no puede ser desasignado porque el estado es utilizado actualmente por un pedido."
"The status needs to remain assigned to its state.","El estado debe permanecer asignado a su estado."
"The ""%1"" validator is not an instance of the general validator interface.","El validador ""%1"" no es una instancia de la interfaz del validador general."
"The creditmemo contains incorrect product items.","El creditmemo contiene artículos de producto incorrectos."
"You can not refund shipping if there is no shipping amount.","No se puede reembolsar el envío si no hay cantidad de envío."
"Move to Archive","Mover al archivo"
"Move to Order Management","Mover a gestión de pedidos"
"We have archived the order.","Hemos archivado la orden."
"Please specify the order ID to be archived.","Por favor especifique el ID de pedido para archivar."
"We archived %1 order(s).","Hemos archivado %1 orden(es)."
"We can't archive the selected order(s).","No podemos archivar los pedidos seleccionados."
"We removed %1 order(s) from the archive.","Hemos removido %1 pedido(s) del archivo."
"We have removed the order from the archive.","Hemos removido la orden del archivo."
"Please specify the order ID to be removed from archive.","Por favor especifique el ID de pedido para ser removido del archivo."
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","Hay %1 órdenes en este archivo. Todos ellas pasarán a la tabla regular después de que el archivo se desactive."
"Restore from Archive","Restaurar de Archivo"
"Orders, Invoices, Shipments, Credit Memos Archiving","Archivo de pedidos, facturas, envíos, notas de crédito"
"Enable Archiving","Permitir Archivar"
"Archive Orders Purchased","Archivo de pedidos comprados"
"Order Statuses to be Archived","Estados de pedido para archivar"
"Mass Add","Agregar en masa"
"Sales Archive","Archivo de Ventas"
